MSI Z68A GD55,12.75,63.00,32.32
ASUS ROG STRIX Z270E,29.99,160.00,108.11
ASUS A88X PLUS,25.00,60.00,14.25
ASUS H97I PLUS,57.99,129.99,43.66
GIGABYTE AORUS Z270X,15.00,69.99,36.54
ASUS MAXIMUS VIII HERO,15.00,74.99,41.54
MSI Z170A SLI G3900,45.00,69.99,-0.35
ASROCK FATALITY PROFESSIONAL GAMING,19.99,129.99,90.4
ASUS ROG STRIX Z370E,29.99,69.99,18.1
EVGA X99 5960X,130.00,240.00,65.1
GIGABYTE Z170X UD5,29.99,29.99,-21.89
MSI Z170A GAMING M5,24.59,74.95,29.7
GIGABYTE Z97X SLI,19.99,109.99,70.4
ASUS P8Z68V,45.00,84.99,14.64
GIGABYTE B85 G3258,42.50,75.00,7.72
